code,name,level,status,release_date,superseded_by,entry_requirements,cricos_code,core_units,elective_units,total_units
AHC30921,Certificate III in Landscape Construction,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,10,7,17
AUR30620,Certificate III In Light Vehicle Mechanical Technology,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,20,16,36
AUR31120,Certificate III in Heavy Commercial Vehicle Mechanical Technology,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,22,46,68
BSB50420,Diploma of Leadership and Management,Diploma,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,6,6,12
BSB60420,Advanced Diploma of Leadership and Management,Advanced Diploma,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,5,5,10
CPC30620,Certificate III in Painting and Decorating,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,26,3,29
CPC32420,Certificate III in Plumbing,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,43,15,58
CPC40920,Certificate IV in Plumbing and Services,Certificate IV,current,,,"This qualification is intended for individuals who:

- Have completed CPC32420 Certificate III in Plumbing or equivalent
- Hold relevant plumbing trade experience
- Possess sound communication and numeracy skills
- Undertake a Language, Literacy and Numeracy (LLN) assessment prior to enrolment
- Additional licensing or industry requirements may apply depending on the specialisation selected.",,10,5,15
MEM30219,Certificate III in Engineering - Mechanical Trade,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,12,17,29
MEM31922,Certificate III in Engineering - Fabrication Trade,Certificate III,current,,,"There are no formal academic prerequisites for this qualification; however, applicants must:

- Be 18 years or older
- Possess basic English communication skills
- Demonstrate capacity for outdoor manual work
- Have basic numeracy skills for measurements and calculations
- Participate in an LLN assessment prior to enrolment
- Students may also require personal protective equipment (PPE) during practical sessions.",,12,20,32
MEM31925,Certificate III in Engineering - Fabrication Trade,Certificate III,current,,,"While there are no formal entry requirements under the training package, participants typically:

- Be employed as an apprentice or have access to a fabrication workplace
- Have basic literacy and numeracy skills
- Demonstrate mechanical aptitude and interest in engineering
Additional requirements may include:

- White Card (Construction Induction)
- PPE suitable for workshop environments",,,,